uid,title,developer,ratings,avgrating,oldest_rating,category.1,category.2,invocation,privacy_policy,tos,dynamic,guidance,flashbriefing,smarthome,price,permission.Device_Address,permission.Alexa_Notifications,permission.Amazon_Pay,permission.Device_Country_and_Postal_Code,permission.Reminders,permission.Lists_Read_Access,permission.Lists_Write_Access,permission.Location_Services,permission.Email_Address,permission.First_Name,permission.Full_Name,permission.Mobile_Number,example.1,example.2,example.3,details
B07QQ26512,Gros Pet,HUGO.FM,151,"4,1 sur 5",2019,Fantaisie et humour,,":
        gros pet",https://www.hugo.fm/privacy.html,,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, joue gros pet »","« Alexa, demande à gros pet de me donner un pet mouillé »","« Alexa, demande à gros pet  un compte à rebours de pets »","La Skill Gros Pet donne à Alexa le pouvoir de devenir la machine à péter ultime ! Il suffit d'ouvrir la Skill et de profiter de toutes sortes de rots des fesses. Nous avons des pets tonnerre, des pets mouillés, des pets silencieux et des pets drôles en abondance. Alexa va péter toute la journée et tu vas en rire.CE QUE FAIT L'ART DES GROS PETS:Il vous divertira avec de l'humour de toilette pendant des heures.Il vous renseignera sur une grande variété de pets. Il vous dira quel genre de pets vos amis font. Dis juste quelle sorte de pet fait BOB(nom de l'ami).C'est la machine à pet ultime. Demandez à Alexa un compte à rebours de pets et regardez-la exploser au hasard en une série de pets pour choquer des amis dans la pièce de manière inattendus.ÉCRAN CONNECTÉ :Gros Pet a été optimisé pour les écrans avec un joli gros bouton de pet que tu peux presser (écrans tactiles seulement). Donc quand ta voix est fatiguée de demander des pets toute la journée, tu peux juste taper sur l'écran.LISTE DES PLACEMENTS :Essayez d'ouvrir la skill Gros pet et demandez à Alexa de vous en donner un...Long et croustillantLong et venteuxSecousses des jouesLongLong et grinçantCharmantÇa sent mauvaisViteRapide et silencieuxMinusculePetitProfondCheekyDétendueDémarrage du moteurÉtoufféPourriRumbler moteurTrompetteMouillé et grinçantMouilléBainSpringyCoupableDrôleRapide et silencieuxGazeuxCourt et gazeuxTrès gazeuxToilettes rapidesSilencieuxKetchupBallon grinçantPousser fortDifficileMal à l'aiseGrinçantUne idée de pet ?  S'il vous plaît laisser un avis et demandez le pet que vous aimeriez ajouter !Avec une grande habileté à péter, vient une grande responsabilité !Amusez-vous bien.HugoAucun micro n'a été endommagé dans la fabrication de cette habileté à péter !Quelques effets sonores ont été obtenus sur https://www.zapsplat.com Quelques effets sonores ont été obtenus à partir de la bible du son Quelques effets sonores on été obtenus de la part de Mike KoenigQuelques effets sonores que j'ai pu ou non enregistrer moi-même ;)"
B07GCN94RD,Indego,Bosch Power Tools GmbH,7,"3,7 sur 5",-1,Maison connectée,,":
        indego",https://www.bosch-pt.com/ptlegalpages/de/ptde/fr/smartgardening/privacy/,https://www.bosch-pt.com/ptlegalpages/de/ptde/fr/smartgardening/eula/,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, demande à Indego de commencer à tondre »","« Alexa, demande à Indego de se mettre en pause »","« Alexa, demandez à Indego de retourner à sa base »","Tondre votre pelouse n'a jamais été aussi facile ! Vous pouvez maintenant utiliser Amazon Alexa pour contrôler votre tondeuse robot Indego Connect. Demandez à Amazon Alexa de dire à votre Indego de tondre, de se mettre en pause ou d'arrêter. Si vous êtes curieux, vous pouvez également demander à votre Indego où elle se trouve ou quel est le calendrier de coupe.Pour commencer, tout ce que vous avez à faire est de vous assurer que vous avez déjà installé votre Indego Connect. Ensuite, créez un compte Indego et reliez-le avec votre compte Amazon Alexa en cliquant sur le bouton ""Activer"" dans l'application Alexa.Une fois que vous avez lié vos comptes, vous pouvez commencer à utiliser la skill Indego.Vous pouvez dire à l'Indego de tondre simplement en demandant :""Alexa, demande à Indego de tondre la pelouse""""Alexa, demande à Indego de couper l'herbe ""Vous pouvez demander à l'Indego de retourner à la station de charge simplement en demandant :""Alexa, demande à Indego de retourner à la base""""Alexa, demande à Indego de rentrer à la maison""Si vous souhaitez demander un statut, vous pouvez dire des choses comme :""Alexa, demande à Indego sa position""""Alexa, demande à Indego ce qu'elle fait""Si votre calendrier de coupe vous intéresse, vous pouvez poser des questions telles que :""Alexa, demande à Indego le planning""""Alexa, demande à Indego ce que dit le calendrier de tonte"".La skill ""Indego"" fonctionne avec tous les modèles Indego Connect. Cela comprend : Indego S+ 350/400, Indego 350/400 Connect, Indego 10C / 13C et Indego 1000/1100/1200 Connect."
B07Z49R2JV,Choisis pour moi,MeTaL,1,5 sur 5,-1,Jeux et culture générale,Jeux,":
        choisis pour moi",,,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre choisis pour moi et j'ai 5 choix. »",« Faire le ménage »,« Regarder la télévision »,Une skills de hasard qui vous demande vos différents choix et qui choisis à votre place.
B07MQ7F4W1,Awesome Baboon Facts,Pramod,0,,2019,Jeux et culture générale,Quiz et culture générale,":
        faits impressionnants de babouin",https://babarpramod.github.io,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre faits impressionnants de babouin »",,,Demandez des faits impressionnants sur les babouins et découvrez des choses amusantes. Des faits impressionnants sur les babouins procurent du plaisir à toute la famille.
B07DLJVXRY,Connecteur,Shade Connector,0,,2019,Maison connectée,,,https://www.shadeconnector.com/privacy,https://www.shadeconnector.com/terms,True,True,False,True,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, allume le store »","« Alexa, éteins le store »","« Alexa, règle la luminosité de la cuisine à 25% »","""Connecteur - Skill Smart Home supporte les produits de la série Connector. Avec cette skill, tous les habillages de fenêtres motorisés peuvent être contrôlés via Amazon Echo et vous pouvez ouvrir ou fermer librement votre store à n'importe quelle position et bouton de contrôle créé par connecteur.Comment se connecter:1. Activez la skill et associez votre compte Connector App.2. Assurez-vous que vos produits Connector sont en ligne. Dites: ""Alexa, découvre mes appareils"" pour découvrir une nouvelle vitre motorisée ou appuyez sur le bouton ""découvrir les appareils"" dans l'application Alexa;3. Vos appareils nommés apparaîtront sur la liste de nouveaux appareils;4. Vous pouvez librement ouvrir ou fermer vos stores à n'importe quelle position préférée (niveau / pourcentage de contrôle)Voici quelques exemples pour commencer:""Alexa, allume le store""""Alexa, éteins le store""""Alexa, règle la luminosité de la cuisine à 25%""Remarque:1. Tous les appareils n'ont pas de contrôle de niveau / pourcentage, cela dépend du type d'appareil.2. S'il vous plaît, tout d'abord mettez en place et attribuez un nom unique à chaque store, rideau dans l'application. Par exemple: ""rouleau de cuisine"". Le but est d'être reconnu et identifié sans aucune confusion par Alexa."""
B07MVBGNVR,Attaque navale,ElectricFighter,5,"2,3 sur 5",2019,Jeux et culture générale,Jeux,":
        attaque navale",,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre attaque navale »","« Alexa, ouvre attaque navale et commence un jeu »",« Combien de possibilités sont restées? »,"Attaque navale est arrivée sur Alexa! Jouez avec votre assistant virtuel dans cette version à sens unique d'un classique jeu stratégique. Alexa placera quatre navires de tailles différentes sur une grille 7x7 et votre tâche sera de les couler tous. Testez votre instinct et faites attention à l'endroit où vous frappez, vos tentatives sont limitées: vous commencerez avec 8 et à chaque coup manqué les chances de tirer diminuent. Si vous parvenez à toucher un navire, vous aurez alors une chance supplémentaire.Ajoutez cette Alexa Skill à votre appareil Echo dès maintenant et commencez à jouer à l'un des jeux de société les plus appréciés au monde dans ce tout nouveau design."
B07NDFC51Q,Fait Internet,Soumyadeep Pal,0,,-1,Enseignement et éducation,,":
        fait internet",https://oxnkeen.com/privacy-policy-alexa-skills/,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, commence fait internet »","« Alexa, ouvre Fables de la fontaine »","« Alexa, ouvre film et série »","Dites simplement ""Alexa, ouvre fait internet"" et Internet Fact vous donnera un fait étonnant sur Internet choisi au hasard parmi une liste de plus de 50 faits! S'amuser! et apprendre beaucoup!Et le dernier mais non le moindre, merci beaucoup pour utiliser cette skill Amazon Alexa!"
B081FKSYD1,Réseau Bus Nancy,Schmous,2,"1,5 sur 5",2019,Tourisme et voyages,Transports en commun,":
        réseau bus nancy",,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre réseau bus nancy et donne moi l'heure du prochain bus. »","« Alexa, quel est mon flash quotidien ? »","« Alexa, ouvre billard club de Bourg-en-Bresse »","Donne l'horaire du prochain bus de la ligne 20 à l'arrêt ""Maria Deraismes"" direction Gare"
B07VM9QNXX,Mes Cocktails,Groupe Cerise,40,"3,9 sur 5",2019,Alimentation et gastronomie,Cuisine et recettes,":
        mes cocktails",http://www.prismamedia.com/charte-pour-la-protection-des-donnees/,http://www.prismamedia.com/cgu-groupe-prisma/,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre Mes Cocktails et donne-moi une idée de recette »","« Alexa, ouvre Mes Cocktails et donne-moi la recette du coconut kiss »","« Alexa, lance Mes Cocktails »","La Skill ""Mes Cocktails"" vous offre une expérience facile et ludique pour composer vos cocktails. Plus besoin de farfouiller dans les livres ou de tapoter sur un clavier pour se faire accompagner dans la réalisation d'un cocktail. Demandez à ""Mes Cocktails"" la recette de votre choix et la skill vous dictera les ingrédients et les étapes de réalisation."
B082SZSHBN,Quizz Géographie du monde,DJ,0,,2020,Jeux et culture générale,Quiz et culture générale,":
        jeu de géographie",,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, lance jeu de géographie »","« Alexa, demande à jeu de géographie de me demander sur la géographie »","« Alexa, ouvre les énigmes du Père Fouras »",Cela vous aide à en apprendre davantage sur la géographie du monde et vous l'aimerez vraiment si vous aimez connaître la géographie du monde. Veuillez laisser un commentaire si vous l'aimez.
B07N35VQXM,Feu de cheminée,modis,9,"3,6 sur 5",2019,Santé et bien-être,,":
        feu de cheminée",,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre feu de cheminée »","« Alexa, ouvre maux de tête »","« Alexa, lance Promenade en forêt »","La skill ""Feu de cheminée"" est une très belle cheminée avec un parfait crépitement du feu de deux heures de relaxation, pour se détendre, méditer ou s'endormir. Pour les détenteurs d'écrans, une magnifique vidéo des flammes dansantes qui embelliront votre chambre."
B07KFJQ2NK,À portée d'bio - Livraison de fruit et légumes bio,Rising Web,0,,-1,Alimentation et gastronomie,Livraisons et plats à emporter,":
        à portée d'bio",https://www.aporteedbio.com/cgv,https://www.aporteedbio.com/cgv,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, demande à à portée d'bio quel est le contenu du panier de légumes »","« Alexa, demande à à portée d'bio quand puis-je me faire livrer au trente tro...
     »","« Alexa, demande à Tasse de Thé combien de temps pour le thé noi...
     »","Cette Skill vous permet de connaître le contenu des paniers de la semaine proposés par À portée d'bio Bordeaux. Vous pouvez également consulter les créneaux de livraison disponible. Pour activer la skill dites ""Alexa, ouvre à portée d'bio""Vous pouvez ensuite : - Connaître le contenu d'un panier, pour cela dites : ""panier de légumes"", ""panier de fruits"", ""panier 100% local"" ou ""panier complet""- Consulter les créneaux de livraison de votre secteur, pour cela dites votre code postal, ex : ""33450""Le contenu des paniers donnés est celui disponible le lendemain à la livraison."
B07Z6HC7CW,NRJ LOUNGE,NRJ,1,1 sur 5,2019,"Musique, radio et audio",Services de diffusion en continu,":
        n. r. j. lounge",,,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre NRJ Lounge »","« Alexa, demande à NRJ Lounge quel est le titre en cours de diffusion »","« Alexa, ouvre NRJ Latino »","Grâce à la Skill NRJ Lounge, écoutez la radio instantanément et retrouvez les Hits du moment et les meilleures nouveautés !A tout moment, accédez à votre radio préférée.Vous voulez connaitre le titre et l'artiste d'une chanson que vous êtes en train d'écouter? Dites  ""Alexa, demande à NRJ Lounge quel est le titre en cours""Votre radio préférée, vos hits préférés : ici c’est NRJ !"
B07KWD6C2R,Nouvelles apps iOS que nous aimons ES Non Officiel,VoiceSkillsInc,0,,-1,Actualités,,,,,True,True,True,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, quel est mon flash quotidien ? »","« Alexa, quelles sont les infos ? »",,"Restez au courant des ventes et des téléchargements les plus populaires d'Apple avec Le top 10 des nouvelles applications iOS que nous aimons en Espagne, d'Apple.Mis à jour automatiquement tous les jours - de sorte que vous aurez toujours les informations actuelles. Tout ce que vous avez à faire est d’ajouter cette skill à votre Flash Briefing.Si vous trouvez cette skill utile, donnez-nous une évaluation 5 étoiles."
B0722QPWBB,Sons de Sommeil: Sons de Chute d'Eau,"Voice Apps, LLC.",0,,2017,"Musique, radio et audio",Services de diffusion en continu,":
        sons de chute d'eau",,,True,False,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre Sons de Chute d'Eau »","« Alexa, commence Sons de Chute d'Eau »","« Alexa, ouvre Sons Océaniques »","Sons de Chute d'Eau vous aide à dormir paisiblement ou à éliminer les bruits indésirables au travail ou à la maison.  Vous pourrez mieux dormir, rester concentré, étudier sans être interrompu, vous détendre rapidement, méditer plus efficacement et faire dormir votre bébé plus rapidement!Pour activer la skill :  Recherchez ""Sons de Chute d'Eau"" dans l'application mobile Alexa ou sur Amazon.com et recherchez ""Sons de sommeil : Sons de Chute d'Eau"" par Voice Apps, LLC.  Cliquez sur le bouton d'activation sur la page de la skill.Pour commencer : Dites ""Alexa, commence Sons de Chute d'Eau"".Par défaut, le son se mettra en boucle automatiquement et jouera jusqu'à ce que vous dites ""Alexa, Stop"".   Pour limiter la durée d'écoute du son, dites simplement ""Alexa, régle une minuterie de sommeil de 2 heures"" ou n'importe quelle autre limite de temps que vous souhaitez.Recherchez nos autres sons de haute qualité dans le catalogue des skills.  Rechercher:Sons d'orageSons océaniquesBruits de pluieCarillons de ventSons de feu de cheminéeBeau RêveBruit brunPluie en villeSons des battements de cœurBruits de fortes pluiesNuit dans la jungleLe lac de la MontagneSons relaxantsSons de rivièreFaites dormir les petits bébésPetit lacMassage suisseBruit BlancBruits de forêt tropicaleSons sous-marinsSons de ventSons d'oiseaux forestiersBoîte à musiqueSons de ventilateur Sons d'avionSons de trainPluie sur un toit d'étainSons de ventilateurs oscillantsSons de la nuit dans la forêtSons de l'horloge de grand-pèreSons de ronronnement de chatSons de chute d'eauSons d'un train éloignéSons de tonnerre lointainsSons de villeSons de balade en voitureNous aimerions avoir de vos nouvelles !  En cas de questions, de commentaires ou de réactions, veuillez nous envoyer un email à support@sleepsounds.io.Cette skill a été réalisée avec amour par VoiceApps.com.  Visitez VoiceApps.com pour développer vos propres skills en quelques minutes sans avoir besoin de code !"
B07PRCXSG3,Blague Carambar,Mohamed ARRADI-ALAOUI,2,"4,5 sur 5",-1,Fantaisie et humour,,":
        blague carambar",,,True,True,False,False,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, ouvre blague carambar »","« Alexa, ouvre blague carambar et dis-moi une blague »","« Alexa, ouvre blague carambar et trouve-moi une blague »","Blague Carambar vous raconte une blague ou une histoire aléatoire comme lorsque vous ouvrez un carambar !  Pour entendre des blagues il vous suffit juste de dire  :- ""Alexa, ouvre blague carambar et dis-moi une blague"".- ""Alexa, ouvre blague carambar et trouve-moi une blague"".** Informations Données **- Toutes les histoires et blagues proviennent de https://blague.xyz- La licence d'utilisation des données est sous CC BY-NC-SA 3.0 FR. (https://creativecommons.org/licenses/by-nc-sa/3.0/fr/legalcode).** Images Licences **- Icône de la Skill de type ""Linkware""- Lien auteur icône : http://www.seanau.com- Lien icône: http://www.iconarchive.com/show/flat-smiley-icons-by-seanau/Smiley-11-icon.html** Copyright **Cette Skill n'est aucunement une Skill officielle de la marque Carambar ni de blague.xyz.Cette skill ne fait aucunement la promotion ou l'encouragement de discours de haine ou raciste. Les blagues proviennent d'un service tiers ""https://www.blague.xyz""."
B07GTGRBFR,DIGMA SmartLife,深圳市酷客智能科技有限公司,2,5 sur 5,2018,Maison connectée,,,https://sites.google.com/view/cucogosmart,,True,True,False,True,Free,False,False,False,False,False,False,False,False,False,False,False,False,"« Alexa, allume le salon »","« Alexa, éteins le salon »","« Alexa, diminue la luminosité du salon »","Voici un guide pas à pas:(1).  Téléchargez votre application « DIGMA SmartLife » sur Google Play ou iOS App Store;(2).  Lancez l’application et enregistrez un nouveau compte (ou bien enregistrez-vous directement si vous avez déjà un compte);(3).  Allumez les appareils DIGMA SmartLife et connectez-les avec l’application « DIGMA SmartLife »;(4).  IMPORTANT: Vous pouvez renommer les appareils avec l’application DIGMA SmartLife. Si vous renommez une ampoule intelligente « Salon », Alexa retiendra ce nom après avoir découvert les appareils dans l’étape 9;(5).  Téléchargez l’application Amazon « Alexa » depuis Amazon Market, Google Play ou iOS App Store, et connectez Echo à l’application « Alexa » ;(6).  Cherchez dans la section Skills de l'application, la Skill « DIGMA SmartLife »;(7).  Cliquez sur le bouton « Activer » de la page détail de « DIGMA SmartLife », puis entrez votre identifiant, votre mot de passe et votre région sur la page de connexion;(8).    Dites à Echo « Alexa, découvre mes appareils. ». Attendez qu’Echo dise « Recherche terminée »;(9).  Toute la configuration est maintenant terminée. Essayez de parler à Echo pour contrôler vos appareils.Voici les commandes vocales de DIGMA SmartLife :Lumières:* Alexa, allume le salon* Alexa, éteins le salon* Alexa, diminue la luminosité du salon* Alexa, augmente la luminosité du salon* Alexa, règle la luminosité du salon à 20 %Prises:* Alexa, allume ma prise * Alexa, éteins ma prise"
